country,year,variable,value
Cabo Verde,2015,Population density,132.2
Cabo Verde,2015,Surface area (thousand km2),4
Cabo Verde,2018,Population mid-year estimates (millions),0.55
Cabo Verde,2018,Population mid-year estimates for males (millions),0.28
Cabo Verde,2018,Population mid-year estimates for females (millions),0.28
Cabo Verde,2018,Sex ratio (males per 100 females),99.4
Cabo Verde,2018,Population aged 0 to 14 years old (percentage),29.8
Cabo Verde,2018,Population aged 60+ years old (percentage),7
Cabo Verde,2018,Population density,137.3
Cambodia,2005,Population mid-year estimates (millions),13.27
Cambodia,2005,Population mid-year estimates for males (millions),6.44
Cambodia,2005,Population mid-year estimates for females (millions),6.83
Cambodia,2005,Sex ratio (males per 100 females),94.3
Cambodia,2005,Population aged 0 to 14 years old (percentage),37.1
Cambodia,2005,Population aged 60+ years old (percentage),5.3
Cambodia,2005,Population density,75.2
Cambodia,2010,Population mid-year estimates (millions),14.31
Cambodia,2010,Population mid-year estimates for males (millions),6.97
Cambodia,2010,Population mid-year estimates for females (millions),7.34
Cambodia,2010,Sex ratio (males per 100 females),95
Cambodia,2010,Population aged 0 to 14 years old (percentage),33.3
Cambodia,2010,Population aged 60+ years old (percentage),5.9
Cambodia,2010,Population density,81.1
Cambodia,2015,Population mid-year estimates (millions),15.52
Cambodia,2015,Population mid-year estimates for males (millions),7.57
Cambodia,2015,Population mid-year estimates for females (millions),7.95
Cambodia,2015,Sex ratio (males per 100 females),95.2
Cambodia,2015,Population aged 0 to 14 years old (percentage),31.6
Cambodia,2015,Population aged 60+ years old (percentage),6.8
Cambodia,2015,Population density,87.9
Cambodia,2015,Surface area (thousand km2),181
Cambodia,2018,Population mid-year estimates (millions),16.25
Cambodia,2018,Population mid-year estimates for males (millions),7.93
Cambodia,2018,Population mid-year estimates for females (millions),8.32
Cambodia,2018,Sex ratio (males per 100 females),95.3
Cambodia,2018,Population aged 0 to 14 years old (percentage),31.2
Cambodia,2018,Population aged 60+ years old (percentage),7.2
Cambodia,2018,Population density,92
Cameroon,2005,Population mid-year estimates (millions),17.42
Cameroon,2005,Population mid-year estimates for males (millions),8.7
Cameroon,2005,Population mid-year estimates for females (millions),8.72
Cameroon,2005,Sex ratio (males per 100 females),99.7
Cameroon,2005,Population aged 0 to 14 years old (percentage),44
Cameroon,2005,Population aged 60+ years old (percentage),5
Cameroon,2005,Population density,36.9
Cameroon,2010,Population mid-year estimates (millions),19.97
Cameroon,2010,Population mid-year estimates for males (millions),9.99
Cameroon,2010,Population mid-year estimates for females (millions),9.99
Cameroon,2010,Sex ratio (males per 100 females),100
Cameroon,2010,Population aged 0 to 14 years old (percentage),43.5
Cameroon,2010,Population aged 60+ years old (percentage),4.9
Cameroon,2010,Population density,42.2
Cameroon,2015,Population mid-year estimates (millions),22.83
Cameroon,2015,Population mid-year estimates for males (millions),11.42
Cameroon,2015,Population mid-year estimates for females (millions),11.41
Cameroon,2015,Sex ratio (males per 100 females),100.1
Cameroon,2015,Population aged 0 to 14 years old (percentage),43
Cameroon,2015,Population aged 60+ years old (percentage),4.8
Cameroon,2015,Population density,48.3
Cameroon,2015,Surface area (thousand km2),476
Cameroon,2018,Population mid-year estimates (millions),24.68
Cameroon,2018,Population mid-year estimates for males (millions),12.35
Cameroon,2018,Population mid-year estimates for females (millions),12.33
Cameroon,2018,Sex ratio (males per 100 females),100.2
Cameroon,2018,Population aged 0 to 14 years old (percentage),42.5
Cameroon,2018,Population aged 60+ years old (percentage),4.8
Cameroon,2018,Population density,52.2
Canada,2005,Population mid-year estimates (millions),32.29
Canada,2005,Population mid-year estimates for males (millions),16.01
Canada,2005,Population mid-year estimates for females (millions),16.28
Canada,2005,Sex ratio (males per 100 females),98.3
Canada,2005,Population aged 0 to 14 years old (percentage),17.7
Canada,2005,Population aged 60+ years old (percentage),17.9
Canada,2005,Population density,3.6
Canada,2010,Population mid-year estimates (millions),34.17
Canada,2010,Population mid-year estimates for males (millions),16.95
Canada,2010,Population mid-year estimates for females (millions),17.22
Canada,2010,Sex ratio (males per 100 females),98.5
Canada,2010,Population aged 0 to 14 years old (percentage),16.5
Canada,2010,Population aged 60+ years old (percentage),20
Canada,2010,Population density,3.8
Canada,2015,Population mid-year estimates (millions),35.95
Canada,2015,Population mid-year estimates for males (millions),17.83
Canada,2015,Population mid-year estimates for females (millions),18.12
Canada,2015,Sex ratio (males per 100 females),98.4
Canada,2015,Population aged 0 to 14 years old (percentage),16
Canada,2015,Population aged 60+ years old (percentage),22.4
Canada,2015,Population density,4
Canada,2015,Surface area (thousand km2),"9,985"
Canada,2018,Population mid-year estimates (millions),36.95
Canada,2018,Population mid-year estimates for males (millions),18.34
Canada,2018,Population mid-year estimates for females (millions),18.61
Canada,2018,Sex ratio (males per 100 females),98.5
Canada,2018,Population aged 0 to 14 years old (percentage),16.1
Canada,2018,Population aged 60+ years old (percentage),24
Canada,2018,Population density,4.1
Cayman Islands,2005,Population mid-year estimates (millions),0.05
Cayman Islands,2005,Sex ratio (males per 100 females),101
Cayman Islands,2005,Population density,202.6
Cayman Islands,2010,Population mid-year estimates (millions),0.06
Cayman Islands,2010,Sex ratio (males per 100 females),97.8
Cayman Islands,2010,Population aged 0 to 14 years old (percentage),18.1
Cayman Islands,2010,Population aged 60+ years old (percentage),8.6
Cayman Islands,2010,Population density,231.3
Cayman Islands,2015,Population mid-year estimates (millions),0.06
Cayman Islands,2015,Sex ratio (males per 100 females),100.4
Cayman Islands,2015,Population aged 0 to 14 years old (percentage),18.3
Cayman Islands,2015,Population aged 60+ years old (percentage),6.7
Cayman Islands,2015,Population density,249.8
Cayman Islands,2015,Surface area (thousand km2),0
Cayman Islands,2018,Population mid-year estimates (millions),0.06
Cayman Islands,2018,Population density,259.8
Central African Republic,2005,Population mid-year estimates (millions),4.13
Central African Republic,2005,Population mid-year estimates for males (millions),2.03
Central African Republic,2005,Population mid-year estimates for females (millions),2.09
Central African Republic,2005,Sex ratio (males per 100 females),97.2
Central African Republic,2005,Population aged 0 to 14 years old (percentage),42.2
Central African Republic,2005,Population aged 60+ years old (percentage),5.7
Central African Republic,2005,Population density,6.6
Central African Republic,2010,Population mid-year estimates (millions),4.45
Central African Republic,2010,Population mid-year estimates for males (millions),2.19
Central African Republic,2010,Population mid-year estimates for females (millions),2.25
Central African Republic,2010,Sex ratio (males per 100 females),97.4
Central African Republic,2010,Population aged 0 to 14 years old (percentage),42.5
Central African Republic,2010,Population aged 60+ years old (percentage),5.5
Central African Republic,2010,Population density,7.1
Central African Republic,2015,Population mid-year estimates (millions),4.55
Central African Republic,2015,Population mid-year estimates for males (millions),2.24
Central African Republic,2015,Population mid-year estimates for females (millions),2.3
Central African Republic,2015,Sex ratio (males per 100 females),97.3
Central African Republic,2015,Population aged 0 to 14 years old (percentage),43.7
Central African Republic,2015,Population aged 60+ years old (percentage),5.5
Central African Republic,2015,Population density,7.3
Central African Republic,2015,Surface area (thousand km2),623
Central African Republic,2018,Population mid-year estimates (millions),4.74
Central African Republic,2018,Population mid-year estimates for males (millions),2.34
Central African Republic,2018,Population mid-year estimates for females (millions),2.4
Central African Republic,2018,Sex ratio (males per 100 females),97.3
Central African Republic,2018,Population aged 0 to 14 years old (percentage),42.8
Central African Republic,2018,Population aged 60+ years old (percentage),5.5
Central African Republic,2018,Population density,7.6
Chad,2005,Population mid-year estimates (millions),10.07
Chad,2005,Population mid-year estimates for males (millions),5.03
Chad,2005,Population mid-year estimates for females (millions),5.04
Chad,2005,Sex ratio (males per 100 females),99.7
Chad,2005,Population aged 0 to 14 years old (percentage),49.1
Chad,2005,Population aged 60+ years old (percentage),4.2
Chad,2005,Population density,8
Chad,2010,Population mid-year estimates (millions),11.89
Chad,2010,Population mid-year estimates for males (millions),5.95
Chad,2010,Population mid-year estimates for females (millions),5.94
Chad,2010,Sex ratio (males per 100 females),100
Chad,2010,Population aged 0 to 14 years old (percentage),48.6
Chad,2010,Population aged 60+ years old (percentage),4
Chad,2010,Population density,9.4
Chad,2015,Population mid-year estimates (millions),14.01
Chad,2015,Population mid-year estimates for males (millions),7.01
Chad,2015,Population mid-year estimates for females (millions),7
Chad,2015,Sex ratio (males per 100 females),100.2
Chad,2015,Population aged 0 to 14 years old (percentage),47.6
Chad,2015,Population aged 60+ years old (percentage),4
Chad,2015,Population density,11.1
Chad,2015,Surface area (thousand km2),"1,284"
Chad,2018,Population mid-year estimates (millions),15.35
Chad,2018,Population mid-year estimates for males (millions),7.69
Chad,2018,Population mid-year estimates for females (millions),7.67
Chad,2018,Sex ratio (males per 100 females),100.2
Chad,2018,Population aged 0 to 14 years old (percentage),46.9
Chad,2018,Population aged 60+ years old (percentage),4
Chad,2018,Population density,12.2
Channel Islands,2005,Population mid-year estimates (millions),0.15
Channel Islands,2005,Population mid-year estimates for males (millions),0.08
Channel Islands,2005,Population mid-year estimates for females (millions),0.08
Channel Islands,2005,Sex ratio (males per 100 females),96.6
Channel Islands,2005,Population aged 0 to 14 years old (percentage),16.3
Channel Islands,2005,Population aged 60+ years old (percentage),20.4
Channel Islands,2005,Population density,812.1
Channel Islands,2010,Population mid-year estimates (millions),0.16
Channel Islands,2010,Population mid-year estimates for males (millions),0.08
Channel Islands,2010,Population mid-year estimates for females (millions),0.08
Channel Islands,2010,Sex ratio (males per 100 females),98.1
Channel Islands,2010,Population aged 0 to 14 years old (percentage),15.3
Channel Islands,2010,Population aged 60+ years old (percentage),21.7
Channel Islands,2010,Population density,839.9
Channel Islands,2015,Population mid-year estimates (millions),0.16
Channel Islands,2015,Population mid-year estimates for males (millions),0.08
Channel Islands,2015,Population mid-year estimates for females (millions),0.08
Channel Islands,2015,Sex ratio (males per 100 females),98.3
Channel Islands,2015,Population aged 0 to 14 years old (percentage),14.7
Channel Islands,2015,Population aged 60+ years old (percentage),23.7
Channel Islands,2015,Population density,861.9
Channel Islands,2015,Surface area (thousand km2),0
Channel Islands,2018,Population mid-year estimates (millions),0.17
Channel Islands,2018,Population mid-year estimates for males (millions),0.08
Channel Islands,2018,Population mid-year estimates for females (millions),0.08
Channel Islands,2018,Sex ratio (males per 100 females),98.5
Channel Islands,2018,Population aged 0 to 14 years old (percentage),14.5
Channel Islands,2018,Population aged 60+ years old (percentage),25
Channel Islands,2018,Population density,874.1
Chile,2005,Population mid-year estimates (millions),16.15
Chile,2005,Population mid-year estimates for males (millions),7.99
Chile,2005,Population mid-year estimates for females (millions),8.16
Chile,2005,Sex ratio (males per 100 females),97.9
Chile,2005,Population aged 0 to 14 years old (percentage),24.6
Chile,2005,Population aged 60+ years old (percentage),11.8
Chile,2005,Population density,21.7
Chile,2010,Population mid-year estimates (millions),16.99
Chile,2010,Population mid-year estimates for males (millions),8.41
Chile,2010,Population mid-year estimates for females (millions),8.58
Chile,2010,Sex ratio (males per 100 females),98
Chile,2010,Population aged 0 to 14 years old (percentage),22.5
Chile,2010,Population aged 60+ years old (percentage),13.2
Chile,2010,Population density,22.9
Chile,2015,Population mid-year estimates (millions),17.76
Chile,2015,Population mid-year estimates for males (millions),8.8
Chile,2015,Population mid-year estimates for females (millions),8.97
Chile,2015,Sex ratio (males per 100 females),98.1
Chile,2015,Population aged 0 to 14 years old (percentage),20.8
Chile,2015,Population aged 60+ years old (percentage),15.2
Chile,2015,Population density,23.9
Chile,2015,Surface area (thousand km2),756
Chile,2018,Population mid-year estimates (millions),18.2
Chile,2018,Population mid-year estimates for males (millions),9.02
Chile,2018,Population mid-year estimates for females (millions),9.18
Chile,2018,Sex ratio (males per 100 females),98.2
Chile,2018,Population aged 0 to 14 years old (percentage),20.1
Chile,2018,Population aged 60+ years old (percentage),16.5
Chile,2018,Population density,24.5
China,2005,Population mid-year estimates (millions),"1,321.62"
China,2005,Population mid-year estimates for males (millions),679.54
China,2005,Population mid-year estimates for females (millions),642.08
China,2005,Sex ratio (males per 100 females),105.8
China,2005,Population aged 0 to 14 years old (percentage),19.9
China,2005,Population aged 60+ years old (percentage),11
China,2005,Population density,140.8
China,2010,Population mid-year estimates (millions),"1,359.76"
China,2010,Population mid-year estimates for males (millions),699.88
China,2010,Population mid-year estimates for females (millions),659.87
China,2010,Sex ratio (males per 100 females),106.1
China,2010,Population aged 0 to 14 years old (percentage),17.8
China,2010,Population aged 60+ years old (percentage),12.6
China,2010,Population density,144.8
China,2015,Population mid-year estimates (millions),"1,397.03"
China,2015,Population mid-year estimates for males (millions),719.76
China,2015,Population mid-year estimates for females (millions),677.27
China,2015,Sex ratio (males per 100 females),106.3
China,2015,Population aged 0 to 14 years old (percentage),17.7
China,2015,Population aged 60+ years old (percentage),15.4
China,2015,Population density,148.8
China,2015,Surface area (thousand km2),"9,600"
China,2018,Population mid-year estimates (millions),"1,415.05"
China,2018,Population mid-year estimates for males (millions),729.2
China,2018,Population mid-year estimates for females (millions),685.85
China,2018,Sex ratio (males per 100 females),106.3
China,2018,Population aged 0 to 14 years old (percentage),17.6
China,2018,Population aged 60+ years old (percentage),16.6
China,2018,Population density,150.7
"China, Hong Kong SAR",2005,Population mid-year estimates (millions),6.83
"China, Hong Kong SAR",2005,Population mid-year estimates for males (millions),3.28
"China, Hong Kong SAR",2005,Population mid-year estimates for females (millions),3.55
"China, Hong Kong SAR",2005,Sex ratio (males per 100 females),92.2
"China, Hong Kong SAR",2005,Population aged 0 to 14 years old (percentage),14.4
"China, Hong Kong SAR",2005,Population aged 60+ years old (percentage),15.6
"China, Hong Kong SAR",2005,Population density,"6,502.60"
"China, Hong Kong SAR",2010,Population mid-year estimates (millions),7.03
"China, Hong Kong SAR",2010,Population mid-year estimates for males (millions),3.3
"China, Hong Kong SAR",2010,Population mid-year estimates for females (millions),3.73
"China, Hong Kong SAR",2010,Sex ratio (males per 100 females),88.4
"China, Hong Kong SAR",2010,Population aged 0 to 14 years old (percentage),11.9
"China, Hong Kong SAR",2010,Population aged 60+ years old (percentage),18.4
"China, Hong Kong SAR",2010,Population density,"6,690.70"
"China, Hong Kong SAR",2015,Population mid-year estimates (millions),7.25
"China, Hong Kong SAR",2015,Population mid-year estimates for males (millions),3.35
"China, Hong Kong SAR",2015,Population mid-year estimates for females (millions),3.9
"China, Hong Kong SAR",2015,Sex ratio (males per 100 females),85.9
"China, Hong Kong SAR",2015,Population aged 0 to 14 years old (percentage),11.2
"China, Hong Kong SAR",2015,Population aged 60+ years old (percentage),21.8
"China, Hong Kong SAR",2015,Population density,"6,900.70"
"China, Hong Kong SAR",2015,Surface area (thousand km2),1
"China, Hong Kong SAR",2018,Population mid-year estimates (millions),7.43
"China, Hong Kong SAR",2018,Population mid-year estimates for males (millions),3.41
"China, Hong Kong SAR",2018,Population mid-year estimates for females (millions),4.02
"China, Hong Kong SAR",2018,Sex ratio (males per 100 females),84.8
"China, Hong Kong SAR",2018,Population aged 0 to 14 years old (percentage),11.9
"China, Hong Kong SAR",2018,Population aged 60+ years old (percentage),24.3
"China, Hong Kong SAR",2018,Population density,"7,075.10"
"China, Macao SAR",2005,Population mid-year estimates (millions),0.48
"China, Macao SAR",2005,Population mid-year estimates for males (millions),0.23
"China, Macao SAR",2005,Population mid-year estimates for females (millions),0.25
"China, Macao SAR",2005,Sex ratio (males per 100 females),90.5
"China, Macao SAR",2005,Population aged 0 to 14 years old (percentage),16.9
"China, Macao SAR",2005,Population aged 60+ years old (percentage),9.6
"China, Macao SAR",2005,Population density,"16,139.10"
"China, Macao SAR",2010,Population mid-year estimates (millions),0.54
"China, Macao SAR",2010,Population mid-year estimates for males (millions),0.26
"China, Macao SAR",2010,Population mid-year estimates for females (millions),0.28
"China, Macao SAR",2010,Sex ratio (males per 100 females),92.3
"China, Macao SAR",2010,Population aged 0 to 14 years old (percentage),12.7
"China, Macao SAR",2010,Population aged 60+ years old (percentage),11
"China, Macao SAR",2010,Population density,"17,958.80"
"China, Macao SAR",2015,Population mid-year estimates (millions),0.6
"China, Macao SAR",2015,Population mid-year estimates for males (millions),0.29
"China, Macao SAR",2015,Population mid-year estimates for females (millions),0.31
"China, Macao SAR",2015,Sex ratio (males per 100 females),92.2
"China, Macao SAR",2015,Population aged 0 to 14 years old (percentage),12.4
"China, Macao SAR",2015,Population aged 60+ years old (percentage),14.4
"China, Macao SAR",2015,Population density,"20,098.40"
"China, Macao SAR",2015,Surface area (thousand km2),0
"China, Macao SAR",2018,Population mid-year estimates (millions),0.63
"China, Macao SAR",2018,Population mid-year estimates for males (millions),0.3
"China, Macao SAR",2018,Population mid-year estimates for females (millions),0.33
"China, Macao SAR",2018,Sex ratio (males per 100 females),92.4
"China, Macao SAR",2018,Population aged 0 to 14 years old (percentage),13.8
"China, Macao SAR",2018,Population aged 60+ years old (percentage),17
"China, Macao SAR",2018,Population density,"21,151.10"
Colombia,2005,Population mid-year estimates (millions),43.29
Colombia,2005,Population mid-year estimates for males (millions),21.38
Colombia,2005,Population mid-year estimates for females (millions),21.91
Colombia,2005,Sex ratio (males per 100 females),97.6
Colombia,2005,Population aged 0 to 14 years old (percentage),28.9
Colombia,2005,Population aged 60+ years old (percentage),7.6
Colombia,2005,Population density,39
Colombia,2010,Population mid-year estimates (millions),45.92
Colombia,2010,Population mid-year estimates for males (millions),22.64
Colombia,2010,Population mid-year estimates for females (millions),23.28
Colombia,2010,Sex ratio (males per 100 females),97.3
Colombia,2010,Population aged 0 to 14 years old (percentage),26.4
Colombia,2010,Population aged 60+ years old (percentage),9
Colombia,2010,Population density,41.4
Colombia,2015,Population mid-year estimates (millions),48.23
Colombia,2015,Population mid-year estimates for males (millions),23.74
Colombia,2015,Population mid-year estimates for females (millions),24.49
Colombia,2015,Sex ratio (males per 100 females),97
Colombia,2015,Population aged 0 to 14 years old (percentage),24.3
Colombia,2015,Population aged 60+ years old (percentage),10.8
Colombia,2015,Population density,43.5
Colombia,2015,Surface area (thousand km2),"1,142"
Colombia,2018,Population mid-year estimates (millions),49.46
Colombia,2018,Population mid-year estimates for males (millions),24.33
Colombia,2018,Population mid-year estimates for females (millions),25.14
Colombia,2018,Sex ratio (males per 100 females),96.8
Colombia,2018,Population aged 0 to 14 years old (percentage),23.1
Colombia,2018,Population aged 60+ years old (percentage),12.1
Colombia,2018,Population density,44.6
Comoros,2005,Population mid-year estimates (millions),0.61
Comoros,2005,Population mid-year estimates for males (millions),0.31
Comoros,2005,Population mid-year estimates for females (millions),0.3
Comoros,2005,Sex ratio (males per 100 females),101.4
Comoros,2005,Population aged 0 to 14 years old (percentage),42.3
Comoros,2005,Population aged 60+ years old (percentage),4.6
Comoros,2005,Population density,328.7
Comoros,2010,Population mid-year estimates (millions),0.69
Comoros,2010,Population mid-year estimates for males (millions),0.35
Comoros,2010,Population mid-year estimates for females (millions),0.34
Comoros,2010,Sex ratio (males per 100 females),101.6
Comoros,2010,Population aged 0 to 14 years old (percentage),41
Comoros,2010,Population aged 60+ years old (percentage),4.5
Comoros,2010,Population density,370.6
Comoros,2015,Population mid-year estimates (millions),0.78
Comoros,2015,Population mid-year estimates for males (millions),0.39
Comoros,2015,Population mid-year estimates for females (millions),0.39
Comoros,2015,Sex ratio (males per 100 females),101.7
Comoros,2015,Population aged 0 to 14 years old (percentage),40.1
Comoros,2015,Population aged 60+ years old (percentage),4.7
Comoros,2015,Population density,417.7
Comoros,2015,Surface area (thousand km2),2
Comoros,2018,Population mid-year estimates (millions),0.83
Comoros,2018,Population mid-year estimates for males (millions),0.42
Comoros,2018,Population mid-year estimates for females (millions),0.41
Comoros,2018,Sex ratio (males per 100 females),101.8
Comoros,2018,Population aged 0 to 14 years old (percentage),39.5
Comoros,2018,Population aged 60+ years old (percentage),5
Comoros,2018,Population density,447.3
Congo,2005,Population mid-year estimates (millions),3.72
Congo,2005,Population mid-year estimates for males (millions),1.86
Congo,2005,Population mid-year estimates for females (millions),1.86
Congo,2005,Sex ratio (males per 100 females),99.9
Congo,2005,Population aged 0 to 14 years old (percentage),41.6
Congo,2005,Population aged 60+ years old (percentage),5.2
Congo,2005,Population density,10.9
Congo,2010,Population mid-year estimates (millions),4.39
Congo,2010,Population mid-year estimates for males (millions),2.19
Congo,2010,Population mid-year estimates for females (millions),2.19
Congo,2010,Sex ratio (males per 100 females),100.1
Congo,2010,Population aged 0 to 14 years old (percentage),41.7
Congo,2010,Population aged 60+ years old (percentage),5
Congo,2010,Population density,12.8
Congo,2015,Population mid-year estimates (millions),5
Congo,2015,Population mid-year estimates for males (millions),2.5
Congo,2015,Population mid-year estimates for females (millions),2.5
Congo,2015,Sex ratio (males per 100 females),100.1
Congo,2015,Population aged 0 to 14 years old (percentage),42.4
Congo,2015,Population aged 60+ years old (percentage),5.1
Congo,2015,Population density,14.6
Congo,2015,Surface area (thousand km2),342
Congo,2018,Population mid-year estimates (millions),5.4
Congo,2018,Population mid-year estimates for males (millions),2.7
Congo,2018,Population mid-year estimates for females (millions),2.7
Congo,2018,Sex ratio (males per 100 females),100.1
Congo,2018,Population aged 0 to 14 years old (percentage),42.1
Congo,2018,Population aged 60+ years old (percentage),5.2
Congo,2018,Population density,15.8
Cook Islands,2001,Population mid-year estimates (millions),0.02
Cook Islands,2001,Sex ratio (males per 100 females),106.6
Cook Islands,2001,Population aged 0 to 14 years old (percentage),30
Cook Islands,2001,Population aged 60+ years old (percentage),10.6
Cook Islands,2001,Population density,76.3
Cook Islands,2005,Population mid-year estimates (millions),0.02
Cook Islands,2005,Population density,82.1
Cook Islands,2006,Population mid-year estimates (millions),0.02
Cook Islands,2006,Sex ratio (males per 100 females),103.1
Cook Islands,2006,Population aged 0 to 14 years old (percentage),26.1
Cook Islands,2006,Population aged 60+ years old (percentage),11.9
Cook Islands,2006,Population density,82.1
Cook Islands,2010,Population mid-year estimates (millions),0.02
Cook Islands,2010,Population density,77.3
Cook Islands,2015,Population mid-year estimates (millions),0.02
Cook Islands,2015,Population density,72.7
Cook Islands,2015,Surface area (thousand km2),0
Cook Islands,2016,Population mid-year estimates (millions),0.02
Cook Islands,2016,Sex ratio (males per 100 females),97.4
Cook Islands,2016,Population aged 0 to 14 years old (percentage),26.9
Cook Islands,2016,Population aged 60+ years old (percentage),14.2
Cook Islands,2016,Population density,72.4
Cook Islands,2018,Population mid-year estimates (millions),0.02
Cook Islands,2018,Population density,72.5
Costa Rica,2005,Population mid-year estimates (millions),4.25
Costa Rica,2005,Population mid-year estimates for males (millions),2.13
Costa Rica,2005,Population mid-year estimates for females (millions),2.12
Costa Rica,2005,Sex ratio (males per 100 females),100.6
Costa Rica,2005,Population aged 0 to 14 years old (percentage),27.4
Costa Rica,2005,Population aged 60+ years old (percentage),9.4
Costa Rica,2005,Population density,83.2
Costa Rica,2010,Population mid-year estimates (millions),4.55
Costa Rica,2010,Population mid-year estimates for males (millions),2.28
Costa Rica,2010,Population mid-year estimates for females (millions),2.27
Costa Rica,2010,Sex ratio (males per 100 females),100.4
Costa Rica,2010,Population aged 0 to 14 years old (percentage),24.6
Costa Rica,2010,Population aged 60+ years old (percentage),11.1
Costa Rica,2010,Population density,89
Costa Rica,2015,Population mid-year estimates (millions),4.81
Costa Rica,2015,Population mid-year estimates for males (millions),2.41
Costa Rica,2015,Population mid-year estimates for females (millions),2.4
Costa Rica,2015,Sex ratio (males per 100 females),100.1
Costa Rica,2015,Population aged 0 to 14 years old (percentage),22.3
Costa Rica,2015,Population aged 60+ years old (percentage),12.8
Costa Rica,2015,Population density,94.2
Costa Rica,2015,Surface area (thousand km2),51
Costa Rica,2018,Population mid-year estimates (millions),4.95
Costa Rica,2018,Population mid-year estimates for males (millions),2.48
Costa Rica,2018,Population mid-year estimates for females (millions),2.48
Costa Rica,2018,Sex ratio (males per 100 females),100
Costa Rica,2018,Population aged 0 to 14 years old (percentage),21.4
Costa Rica,2018,Population aged 60+ years old (percentage),14.1
Costa Rica,2018,Population density,97
Côte d’Ivoire,2005,Population mid-year estimates (millions),18.34
Côte d’Ivoire,2005,Population mid-year estimates for males (millions),9.4
Côte d’Ivoire,2005,Population mid-year estimates for females (millions),8.94
Côte d’Ivoire,2005,Sex ratio (males per 100 females),105.2
Côte d’Ivoire,2005,Population aged 0 to 14 years old (percentage),44.1
Côte d’Ivoire,2005,Population aged 60+ years old (percentage),4.6
Côte d’Ivoire,2005,Population density,57.7
Côte d’Ivoire,2010,Population mid-year estimates (millions),20.4
Côte d’Ivoire,2010,Population mid-year estimates for males (millions),10.41
Côte d’Ivoire,2010,Population mid-year estimates for females (millions),9.99
Côte d’Ivoire,2010,Sex ratio (males per 100 females),104.2
Côte d’Ivoire,2010,Population aged 0 to 14 years old (percentage),43.7
Côte d’Ivoire,2010,Population aged 60+ years old (percentage),4.7
Côte d’Ivoire,2010,Population density,64.2
Côte d’Ivoire,2015,Population mid-year estimates (millions),23.11
Côte d’Ivoire,2015,Population mid-year estimates for males (millions),11.73
Côte d’Ivoire,2015,Population mid-year estimates for females (millions),11.38
Côte d’Ivoire,2015,Sex ratio (males per 100 females),103.1
Côte d’Ivoire,2015,Population aged 0 to 14 years old (percentage),42.7
Côte d’Ivoire,2015,Population aged 60+ years old (percentage),4.7
Côte d’Ivoire,2015,Population density,72.7
Côte d’Ivoire,2015,Surface area (thousand km2),322
Côte d’Ivoire,2018,Population mid-year estimates (millions),24.91
Côte d’Ivoire,2018,Population mid-year estimates for males (millions),12.61
Côte d’Ivoire,2018,Population mid-year estimates for females (millions),12.3
Côte d’Ivoire,2018,Sex ratio (males per 100 females),102.5
Côte d’Ivoire,2018,Population aged 0 to 14 years old (percentage),42.3
Côte d’Ivoire,2018,Population aged 60+ years old (percentage),4.8
Côte d’Ivoire,2018,Population density,78.3
Croatia,2005,Population mid-year estimates (millions),4.38
Croatia,2005,Population mid-year estimates for males (millions),2.11
Croatia,2005,Population mid-year estimates for females (millions),2.27
Croatia,2005,Sex ratio (males per 100 females),92.9
Croatia,2005,Population aged 0 to 14 years old (percentage),15.7
Croatia,2005,Population aged 60+ years old (percentage),21.9
Croatia,2005,Population density,78.2
Croatia,2010,Population mid-year estimates (millions),4.33
Croatia,2010,Population mid-year estimates for males (millions),2.08
Croatia,2010,Population mid-year estimates for females (millions),2.24
Croatia,2010,Sex ratio (males per 100 females),92.9
Croatia,2010,Population aged 0 to 14 years old (percentage),15.4
Croatia,2010,Population aged 60+ years old (percentage),23.8
Croatia,2010,Population density,77.3
Croatia,2015,Population mid-year estimates (millions),4.24
Croatia,2015,Population mid-year estimates for males (millions),2.04
Croatia,2015,Population mid-year estimates for females (millions),2.2
Croatia,2015,Sex ratio (males per 100 females),93
Croatia,2015,Population aged 0 to 14 years old (percentage),14.8
Croatia,2015,Population aged 60+ years old (percentage),25.8
Croatia,2015,Population density,75.7
Croatia,2015,Surface area (thousand km2),57
Croatia,2018,Population mid-year estimates (millions),4.16
Croatia,2018,Population mid-year estimates for males (millions),2.01
Croatia,2018,Population mid-year estimates for females (millions),2.16
Croatia,2018,Sex ratio (males per 100 females),93.1
Croatia,2018,Population aged 0 to 14 years old (percentage),14.7
Croatia,2018,Population aged 60+ years old (percentage),27.2
Croatia,2018,Population density,74.4
Cuba,2005,Population mid-year estimates (millions),11.28
Cuba,2005,Population mid-year estimates for males (millions),5.66
Cuba,2005,Population mid-year estimates for females (millions),5.62
Cuba,2005,Sex ratio (males per 100 females),100.7
Cuba,2005,Population aged 0 to 14 years old (percentage),19.4
Cuba,2005,Population aged 60+ years old (percentage),15.2
Cuba,2005,Population density,106
Cuba,2010,Population mid-year estimates (millions),11.33
Cuba,2010,Population mid-year estimates for males (millions),5.68
Cuba,2010,Population mid-year estimates for females (millions),5.66
Cuba,2010,Sex ratio (males per 100 females),100.4
Cuba,2010,Population aged 0 to 14 years old (percentage),17.4
Cuba,2010,Population aged 60+ years old (percentage),17
Cuba,2010,Population density,106.5
Cuba,2015,Population mid-year estimates (millions),11.46
Cuba,2015,Population mid-year estimates for males (millions),5.74
